asin	reviewerID	overall	reviewTime
B00004U5AJ	A20CSFERC3VINT	5.0	2013-11-07
B00004U5AJ	A2MZT8FPM17FRX	4.0	2000-10-24
B00004U5AJ	AELL37SY6YIYO	5.0	2000-10-08
B00004U5AJ	A32FEPZNPPRSZO	4.0	2001-02-25
B00004U5AJ	A29TNAVMPYFRDF	5.0	2000-12-05
B00004U5AJ	A2QOI0S9Y457VW	4.0	2001-11-10
B00004U5AJ	A2KB14WCZ1DVE3	4.0	2002-03-20
B00004U5AJ	AXFI7TAWD6H6X	3.0	2000-11-15
B00004U5AJ	A1UH3S1GVFSMFH	3.0	2001-04-01
B00004U5AJ	A2MMIZ653FBNPT	3.0	2001-03-27
B00004U5AJ	A1SCJWCMQ3W3KK	4.0	2002-10-17
B00004U5AJ	A2JAKHFYI88ZX0	4.0	2005-01-24
B00004U5AJ	A272DQW5203TBN	5.0	2009-10-04
B00004U5AJ	A20ZDV9ZEESN5K	2.0	2003-11-30
B00004U5AJ	A1QJHZUUMKZYZG	1.0	2003-08-21
B00004U5AJ	AN5OJOW2GYFYG	4.0	2000-10-05
B00004U5AJ	A2JCW6AAQ926RW	3.0	2006-12-28
B00004U5AJ	A2QMNLEU7DZEFD	5.0	2000-09-14
B00004U5AJ	A38ZTUNQJVGP6S	5.0	2009-05-03
B00004U5AJ	A1TYIBVAMWU81M	5.0	2001-08-24
B00004U5AJ	A2ZVERVFM25MJT	4.0	2002-06-06
B00004U5AJ	A2SETXU4UY67C9	4.0	2002-05-30
B00004U5AJ	AHUT55E980RDR	5.0	2001-08-06
B00004U5AJ	A2T5NDBNXH32R8	2.0	2006-05-18
B00004U5AJ	A3UZHPT6414PS0	4.0	2006-02-02
B00004U5AJ	A34974VMNZKRAT	5.0	2001-10-29
B00004U5AJ	ARCV0CKMSKYU0	5.0	2005-02-19
B00004U5AJ	A1CGF9EUDEUQJA	5.0	2000-11-03
B00004U5AJ	AWFDFLR1DA23A	5.0	2000-10-24
B00004U5AJ	A23Q1T4MXZHFM7	5.0	2000-11-09
B000002A5E	A34UI6LG6T0THO	5.0	2006-05-24
B000002A5E	A3BEN3CQ8D1VW5	5.0	2004-03-09
B000002A5E	AHZU8AP1W7KVI	4.0	2003-08-04
B000002A5E	A35JR4D6FLXYRQ	4.0	2007-10-22
B000002A5E	A12R54MKO17TW0	5.0	2012-01-11
B000002A5E	A1YNYT8F584IYV	4.0	2001-07-29
B000002A5E	A9Q28YTLYREO7	4.0	2000-02-05
B000002A5E	A328AACLGP6ZI3	5.0	2013-06-01
B000002A5E	A1XFNWGTPMG1AE	5.0	2004-03-16
B000002A5E	A3V5ZWPQVYRUHF	5.0	2001-07-10
B000002A5E	A2MWRK3XBESBA8	4.0	2005-05-15
B000002A5E	A1ZP1R4GZNB46J	5.0	2001-07-11
B000KCHZK6	AM285URLQRKEX	5.0	2012-12-26
B000KCHZK6	A1IEIWUCTWZ59M	1.0	2007-02-13
B000KCHZK6	A1DTCJV6KOMJOA	4.0	2007-01-30
B000KCHZK6	A200C7YQJ45LRR	4.0	2007-04-25
B000KCHZK6	A28792A82V9DI8	5.0	2007-03-05
B000KCHZK6	A2TAPL67U2A5HM	4.0	2008-12-16
B000KCHZK6	A1X93ES4DITTWK	1.0	2007-03-13
B000KCHZK6	A3GKMK6KQH3Y1H	3.0	2007-01-31
B000KCHZK6	A2WVCV1NFR0R07	5.0	2014-03-25
B000KCHZK6	A461VTLW9G9YB	1.0	2007-01-31
B000KCHZK6	ATC9SAA8MO509	3.0	2007-02-07
B000KCHZK6	A2CNQ1JV16GHW2	1.0	2007-04-04
B000KCHZK6	A3GKOMCQTTWPUI	3.0	2007-02-10
B000KCHZK6	A13E0ARAXI6KJW	4.0	2007-02-25
B000KCHZK6	A1EAFFJQ2NDHGC	2.0	2007-02-06
B000KCHZK6	A37PU1H4RAUGC9	1.0	2007-02-13
B000KCHZK6	A1A535W556ROBQ	3.0	2007-02-28
B000KCHZK6	A3K13KRFENLMA6	4.0	2007-02-03
B000KCHZK6	A3AL8GQ69QE7WN	3.0	2007-02-09
B000KCHZK6	A1X1S1TUPEYVL	3.0	2007-02-03
B000KCHZK6	AI7NOCCFXBDVK	4.0	2012-11-16
B000KCHZK6	A2CEIVPX763WBQ	4.0	2009-08-27
